NumProc,Institucion,ID Institucion,Descripcion,Solicitud,Fecha
2018CD-000010-0009400001,SERVICIO NACIONAL DE SALUD ANIMAL,3007475726,"Compra de Reactivo Biológico para uso de Laboratorio, bajo la Modalidad de Entrega según Demanda (Proveedor Único-Chaso del Valle S.A.)",0062018101200018,12/02/2018
2018CD-000040-0000400001,Instituto Costarricense de Electricidad,4000042139,Suscripción por un año para el acceso a la base de datos de precios de la industria de telecomunicaciones. Reserva 00100000440.,0062018540100001,22/02/2018
2018CD-000032-0001200001,Instituto Costarricense de Turismo,4000042141,Evaluación externa del Aseguramiento de la Calidad de la Auditoría Interna del Instituto Costarricense de Turismo,0062018000900031,01/02/2018
2018CD-000013-0016600012,MUNICIPALIDAD DE SARCHI,3014042078,Compra de accesorios y tubería PVC,0062018000100010,05/02/2018
2018CD-000004-0006900001,MINISTERIO DE JUSTICIA Y PAZ,2100042006,"TIQUETE AÉREO IDA / REGRESO A PARIS, FRANCIA PARA FUNCIONARIO MJP",0062018000700004,26/02/2018
2018CD-000198-0015499999,MUNICIPALIDAD DE SAN JOSE,3014042058,CONTRATACIÓN DE SERVICIOS DE NOTIFICACIONES ADMINISTRATIVAS,0062018012500001,20/02/2018
2018CD-000008-0007400001,INSTITUTO COSTARRICENSE DE INVESTIGACION Y ENSEÑANZA EN NUTRICION Y SALUD,3007045313,SUMINISTROS DE OFICINA,,
2018CD-000016-0003300001,Municipalidad de Moravia,3014042055,COMPRA DE PINTURA PARA PARQUES Y ORNATO,0062018002600016,06/02/2018
2018CD-000009-0010500001,INSTITUTO NACIONAL DE INNOVACION Y TRANSFERENCIA EN TECNOLOGIA AGROPECUARIA,3007320067,"COMPRA DE RECARGAS DE ACETILENO PARA USO EN ABSORCIÓN ATÓMICA DEL LABORATORIO DE SUELOS. LA UNIÓN, CARTAGO",0062018002200005,14/02/2018
2018CD-000004-0006900002,MINISTERIO DE JUSTICIA Y PAZ,2100042006,"Alquiler de Edificios, Locales y Terrenos",0062018000200001,18/01/2018
2018CD-000015-0003300001,Municipalidad de Moravia,3014042055,COMPRA DE CUERDAS,"0062018002800007
(Total: 2)",24/01/2018
2018CD-000005-0015800001,INSTITUTO NACIONAL DE LAS MUJERES,3007075876,Servicios de mantenimiento preventivo y correctivo de aires acondicionados,0062018002200002,30/01/2018
2018CD-000010-0004700001,MUNICIPALIDAD DE ESPARZA,3014042115,Adquisición de pintura para uso en el mantenimiento de los Cementerios Municipales,0062018001400003,05/02/2018
2018CD-000020-0010200001,TEATRO POPULAR MELICO SALAZAR,3007075681,Compra de tintas y cartuchos de tonnner para el tnt y el tpms y programas.,"0062018000700003
(Total: 2)",31/01/2018
2018CD-000006-0007100001,MINISTERIO DE SEGURIDAD PUBLICA,2100042011,"CAPACITACIÓN: GERENCIA CON LIDERAZGO, MÓDULO 1: EL LÍDER DESDE ADENTRO_09003",0062018000400025,20/02/2018
2018CD-000019-0010200001,TEATRO POPULAR MELICO SALAZAR,3007075681,Uniformes (camisetas y gabachas) para uso de la Compañía Nacional de Teatro,0062018000200002,23/01/2018
2018CD-000039-0000400001,Instituto Costarricense de Electricidad,4000042139,Equipos de protección personal (EH007-A-1015-18),,
2018CD-000038-0000400001,Instituto Costarricense de Electricidad,4000042139,MATERIALES ELÉCTRICOS,0062018496000009,02/02/2018
2018CD-000013-0002000001,Consejo Rector del Sistema de Banca para el Desarrollo,3007559723,COMPRA DE MONITOR PARA AUDITORIA INTERNA,0062018000200013,15/02/2018
2018CD-000008-0015900001,MUNICIPALIDAD DE SAN RAMON,3014042076,COMPRA DE DOS ARCHIVOS Y UN LOCKER,0062018015700001,22/02/2018
2018CD-000032-0012300001,TRIBUNAL SUPREMO DE ELECCIONES,2400042156,PAUTA EN WEB ELECCIONES NACIONALES 2018 SEGUNDA RONDA CON LA NACIÓN.,0062018003100028,22/02/2018
2018CD-000031-0012300001,TRIBUNAL SUPREMO DE ELECCIONES,2400042156,PAUTA EN TV CABLE PARA LAS ELECCIONES NACIONALES SEGUNDA RONDA CON TELECABLE SA.,0062018003100029,22/02/2018
2018LA-000013-0004200001,Municipalidad de Buenos Aires,3014042112,"CONTRATACIÓN DE MAQUINARIA PARA REALIZAR EL MANTENIMIENTO DE LOS CAMINOS 6-03-003, 6-03-017, 6-03-001, 6-03-410, 6-03-055, 6-03-078, 6-03-054, 6-03-083, 6-03-053",0062018001200023,22/02/2018
2018CD-000030-0012300001,TRIBUNAL SUPREMO DE ELECCIONES,2400042156,"PAUTA PUBLICITARIA PARA LA SEGUNDA RONDA ELECCIONES NACIONALES 2018, EN YASHINQUESADA.COM.",0062018003100030,22/02/2018
2018LA-000012-0004200001,Municipalidad de Buenos Aires,3014042112,"“CONTRATACIÓN POR SERVICIOS DE MANO DE OBRA, MATERIALES Y EQUIPOS PARA: REHABILITACIÓN DEL CAMINO 6-03-038 BARRIO CANTA RANA",0062018001200017,08/02/2018
2018CD-000066-0004900001,Banco Central de Costa Rica,4000004017,Inscripción en la capacitación denominada: Estudio integral de cargas de trabajo (Producción).,0062018023000088,26/02/2018
2018CD-000065-0004900001,Banco Central de Costa Rica,4000004017,"Inscripción en el V Foro Nacional Lean y Six Sigma: Cultura, Mejora y Resultados.",0062018023000087,26/02/2018
2018LA-000003-0004900001,Banco Central de Costa Rica,4000004017,CONTRATACION BCCR-MUSEO MANTENIMIENTO PREVENTIVO Y CORRECTIVO POR SERVICIOS CONTINUOS ESPECIALIZADOS POR TRATAMIENTO QUIMICO,0062018023000044,05/02/2018
2018CD-000022-0004200001,Municipalidad de Buenos Aires,3014042112,Contratación servicios de mano obra y repuestos para reparación vehículo SM-5011,0062018000700017,26/02/2018
2018CD-000013-0007300001,MINISTERIO DE EDUCACION PUBLICA,2100042002,Compra de Baterias para Vehículo,0062018000200030,02/02/2018
2018CD-000025-0006400001,Comisión Nacional de Préstamos para Educación,3007045000,"RECOLECCIÓN, DISPOSICIÓN FINAL Y TRATAMIENTO (GESTIÓN INTEGRAL SIN COSTO) DE DE RESIDUOS VARIOS PARA RECICLAJE",0062018001400009,26/02/2018
2018CD-000011-0015300001,CORPORACION GANADERA,3007249938,Compra de Rosa de Bengala,0062018000200007,16/02/2018
2018CD-000197-0015499999,MUNICIPALIDAD DE SAN JOSE,3014042058,SERVICIO DE CONFECCIÓN DE BANDERAS VARIAS PARA LA ASAMBLEA INTERNACIONAL DE LA UCCI SAN JOSE 2018,0062018010800012,22/02/2018
2018CD-000196-0015499999,MUNICIPALIDAD DE SAN JOSE,3014042058,"Servicio de reparaciòn activo 35871, Pedido 47375, OT 48714",0062018021800130,06/02/2018
2018CD-000195-0015499999,MUNICIPALIDAD DE SAN JOSE,3014042058,COMPRA DE FILTROS ORIGINALES PARA PEDIDO #47447 Y #47454,"0062018021800149
(Total: 2)",19/02/2018
2018CD-000006-0015600001,JUNTA DE PROTECCION SOCIAL,3007045617,Servicio de recolección de basura y traslado de desechos contaminantes del Cementerio General,0062018180300017,21/02/2018
2018CD-000194-0015499999,MUNICIPALIDAD DE SAN JOSE,3014042058,"Servicio de reparación activo 3117, Pedido 47120, OT 48394",0062018021800140,13/02/2018
2018CD-000193-0015499999,MUNICIPALIDAD DE SAN JOSE,3014042058,"Servicio de reparacion activo 3069, Pedido 47091, OT 48272",0062018021800139,13/02/2018
2018LA-000002-0017699999,UNIVERSIDAD ESTATAL A DISTANCIA,4000042151,COMPRA DE VEHICULOS,0062018110000003,22/02/2018
2018CD-000192-0015499999,MUNICIPALIDAD DE SAN JOSE,3014042058,"Compra de filtros activo 4049, Pedido 47422, OT 48782",0062018021800135,13/02/2018
2018LA-000003-0008100001,"Ministerio de Economía, Industria y Comercio",2100042003,Solicitud de Pedido Proyecto de mejora de los procesos y simplificación de trámites en área de apertura de empresas y permisos de construcción a nivel municipal,0062018021700001,14/02/2018
2018CD-000007-0015900001,MUNICIPALIDAD DE SAN RAMON,3014042076,Compra de 3 kit de equipo de trauma,0062018011400003,22/02/2018
2018CD-000012-0002000001,Consejo Rector del Sistema de Banca para el Desarrollo,3007559723,COMPRA DE TIQUETE AEREO SAN JOSÉ - MENDOZA,0062018000200014,26/02/2018
2018LA-000010-0010400001,INSTITUTO SOBRE ALCOHOLISMO Y FARMACODEPENDENCIA,3007045737,"Adquisición de diversos productos textiles (camisetas, gorras, uniformes, entre otros)","0062018002100003
(Total: 13)",22/01/2018
2018LA-000009-0010400001,INSTITUTO SOBRE ALCOHOLISMO Y FARMACODEPENDENCIA,3007045737,Servicios de publicidad exterior para el Concurso Deje y Gane,0062018003100016,09/02/2018
2018CD-000011-0002000001,Consejo Rector del Sistema de Banca para el Desarrollo,3007559723,APROVISIONAMIENTO DE LICENCIAS OFFICE 365 E3,0062018000200012,14/02/2018
,INSTITUTO NACIONAL DE LAS MUJERES,3007075876,Confeccion de uniformes para choferes de la institucion,0062018002400003,26/02/2018
2018CD-000191-0015499999,MUNICIPALIDAD DE SAN JOSE,3014042058,Solicitud de Servicio de Alimentación para la Capacitación ,0062018021000072,20/02/2018
,Instituto Mixto de Ayuda Social,4000042144,COMPRA DE ARCHIVO DE SEGURIDAD UCAR PUNTARENAS,0062018003200003,26/02/2018
2018CD-000004-0012100001,FONDO NACIONAL DE FINANCIAMIENTO FORESTAL,3007204724,"SERVICIO DE FUMIGACIÓN  (Contrato anual, con posibilidad de prorrogarse a hasta un máximo de 4 años, para este servicio se realizará una visita cada seis meses).",0062018002300003,16/02/2018
2018CD-000190-0015499999,MUNICIPALIDAD DE SAN JOSE,3014042058,Servicio de producción para la capacitación ,0062018021000038,07/02/2018
2018CD-000047-0008000001,MINISTERIO DE CULTURA Y JUVENTUD,2100042001,"SERVICIO DE PRODUCCIÓN DEL PROYECTO “ACTIVIDADES ARTISTICO CULTURALES EN EL CENTRO ALAJUELENSE DE LA CULTURA”, 2018",0062018000300008,25/01/2018
2018CD-000009-0003400001,Municipalidad de Montes de Oca,3014042053,COMPRA DE SUMINISTROS DE OFICINA PARA LA ADMINISTRACIÓN,0062018000400005,12/02/2018
2018CD-000003-0006900002,MINISTERIO DE JUSTICIA Y PAZ,2100042006,Actividades de Capacitación,0062018000200006,12/02/2018
2018CD-000009-0007200001,MINISTERIO DE LA PRESIDENCIA,2100042007,Boleto aéreo a Chile,0062018000100035,23/02/2018
2018CD-000002-0006900002,MINISTERIO DE JUSTICIA Y PAZ,2100042006,Actividades de Capacitación,0062018000200005,07/02/2018
,Universidad de Costa Rica,4000042149,compra de vehículo 4x4,0062018080200014,26/02/2018
2018PP-000004-0001000001,Instituto Nacional de Seguros,4000001902,"Servicios para traslado de pacientes en ambulancia en Heredia, Limón y Cartago",0062018400200001,10/01/2018
,JUNTA ADMINISTRATIVA IMPRENTA NACIONAL,3007042032,659-2018 UN MOTOR PARA EQUIPO SPEED MASTER 74-4 COLORES UBICADO EN LITOGRAFIA.,0062018001300009,26/02/2018
2018CD-000010-0008800001,INSTITUTO COSTARRICENSE SOBRE DROGAS,3007324429,Alquiler de salón para capacitaciones,0062018000500010,15/02/2018
2018PP-000006-0016100001,FIDEICOMISO FONDO SOCIAL MIGRATORIO JADGME - BCR,3110688587,BOLETOS REPATRIACIÓN DE PRIVADOS DE LIBERTAD EDWIN BRYAN LEWIS Y WALTER MOLINA CAMPOS. LA REPATRIACION SE EFECTUARÁ DEL 05 AL 06 DE MARZO 2018 CON DESTINO PANAMÁ.,0062018710300014,21/02/2018
2018CD-000189-0015499999,MUNICIPALIDAD DE SAN JOSE,3014042058,"SERVICIO DE ALQUILER DE ESTRUCTURAS, TOLDO Y SILLAS PARA EVENTO TEDEX COSTA RICA",0062018010800008,20/02/2018
2018CD-000188-0015499999,MUNICIPALIDAD DE SAN JOSE,3014042058,SERVICIO DE ALQUILER DE SONIDO PARA ACTIVIDAD DE EVENTO TEDEX COSTA RICA,0062018010800009,20/02/2018
2018CD-000187-0015499999,MUNICIPALIDAD DE SAN JOSE,3014042058,SERVICIO DE ALQUILER DE GENERADOR (PLANTA ELÉCTRICA) PARA ACTIVIDAD DEL EVENTO TEDEX COSTA RICA,0062018010800010,21/02/2018
2018CD-000186-0015499999,MUNICIPALIDAD DE SAN JOSE,3014042058,SERVICIO DE GRUA PLATAFORMA (VER ESPECIFICACIONES TÉCNICAS ADJUNTAS),0062018022300010,31/01/2018
2018CD-000185-0015499999,MUNICIPALIDAD DE SAN JOSE,3014042058,TECNICAS BASICAS DE REDACCION Y ORTOGRAFIA PARA FUNCIONARIOS PUBLICOS,0062018011200006,15/02/2018
2018PP-000012-0000800001,RADIOGRÁFICA COSTARRICENSE SOCIEDAD ANÓNIMA,3101009059,"Pullift, Gamalanes y Cizallas (Escasa Cuantía)",0062018013500005,12/02/2018
2018CC-000027-0000300001,Correos de Costa Rica S.A.,3101227869,CURSO: CERTIFICACIONES AUDITOR INTERNO DE CALIDAD BASADO EN LA NORMA ISO 9001:2015,0062018100200001,18/01/2018
2018CD-000005-0000900001,Universidad de Costa Rica,4000042149,Compra de Equipos de Comunicación para Canal 15,0062018080200012,20/02/2018
2018CD-000037-0000400001,Instituto Costarricense de Electricidad,4000042139,SOLICITUD DE SELLO,0062018496000051,22/02/2018
2018CD-000010-0007200002,MINISTERIO DE LA PRESIDENCIA,2100042007,Compra de Alimento para canes,0062018000100030,08/02/2018
2018CD-000012-0016600012,MUNICIPALIDAD DE SARCHI,3014042078,Compra de agregados para trabajos en la red vial cantonal del Distrito de Toro Amarillo,0062018002000003,05/02/2018
2018CD-000036-0000400001,Instituto Costarricense de Electricidad,4000042139,ROTULACION ORDENAMIENTO EDIF JMD FASE COMEDOR,0062018496000039,20/02/2018
2018CD-000005-0007900001,JUNTA ADMINISTRATIVA IMPRENTA NACIONAL,3007042032,Servicio de catering para la actividad del 140 aniversario del Diario Oficial La Gaceta,0062018001000002,21/02/2018
2018CD-000004-0005000001,COLEGIO UNIVERSITARIO DE LIMON,3007311926,Servicios de Ambulancia para Actividades Protoc,0062018000200006,15/02/2018
2018CD-000003-0005000001,COLEGIO UNIVERSITARIO DE LIMON,3007311926,Servicio de Fotografía y Video,0062018000200007,15/02/2018
2018CD-000021-0018100001,INS SERVICIOS SOCIEDAD ANONIMA,3101549082,Contratación de Capacitación Cámara de Industrias,0062018000800016,21/02/2018
2018PP-000011-0000800001,RADIOGRÁFICA COSTARRICENSE SOCIEDAD ANÓNIMA,3101009059,Servicio de Agencia de Publicidad,0062017014300024,14/12/2017
2018LA-000011-0004200001,Municipalidad de Buenos Aires,3014042112,"CONTRATACIÓN POR SERVICIOS DE MANO DE OBRA, MATERIALES Y EQUIPOS PARA: REHABILITACIÓN DEL CAMINO 6-03-038, BARRIO LOS SALDAÑA",0062018001200016,08/02/2018
2018CD-000035-0000400001,Instituto Costarricense de Electricidad,4000042139,pedido SELLOS UMBRAL,0062018496000023,15/02/2018
2018CD-000006-0011400001,INSTITUTO COSTARRICENSE DEL DEPORTE Y LA RECREACION,3007227851,Compra de dos tiquetes aéreos,0062018000200003,21/02/2018
2018CD-000034-0000400001,Instituto Costarricense de Electricidad,4000042139,Pinturas epoxicas y pintura alta temperatura (EH003-B-1024-18),0062018430100013,13/02/2018
2018CD-000019-0002300005,Municipalidad de Sarapiquí,3014042098,"Construir dos aulas de 72 m2 en el Colegio de La Rambla, distrito Horquetas",0062018001300002,23/02/2018
2018CD-000003-0012100001,FONDO NACIONAL DE FINANCIAMIENTO FORESTAL,3007204724,"SERVICIO DE LIMPIEZA DE ALFOMBRAS (Contrato anual, con posibilidad de prorrogarse a hasta un máximo de 4 años, para este servicio se realizará una visita cada seis meses).",0062018002300004,16/02/2018
2018LA-000004-0013600001,FIDEICOMISO 872 MS-CTAMS-BNCR,2100045254,Remodelación Área Rectora de Salud de Pavas,0062018000100001,31/01/2018
2018CD-000018-0002300005,Municipalidad de Sarapiquí,3014042098,"Construir un aula de 72 m2 en la escuela de Finca Chavez, distrito Horquetas",0062018001300001,23/02/2018
2018LA-000003-0015499999,MUNICIPALIDAD DE SAN JOSE,3014042058,"Alquiler de sonido, luces y techo para Festival Internacional de las Artes 2018.",0062018020900013,12/02/2018
2018PP-000072-0000200001,COMPAÑÍA NACIONAL DE FUERZA Y LUZ SOCIEDAD ANÓNIMA,3101000046,SERVICIO ALQUILER DE MAQUINARIA,,
2018CD-000002-0005000001,COLEGIO UNIVERSITARIO DE LIMON,3007311926,Servicio de Lavandería y Planchados Varios,0062018000200005,13/02/2018
2018LN-000001-0013600001,FIDEICOMISO 872 MS-CTAMS-BNCR,2100045254,Insecticida y larvicida,0062018000100002,09/02/2018
2018CD-000027-0010400001,INSTITUTO SOBRE ALCOHOLISMO Y FARMACODEPENDENCIA,3007045737,Servicios de alimentación y local para actividades en Sarapiquí,,
2018CD-000018-0010200001,TEATRO POPULAR MELICO SALAZAR,3007075681,RENOVACION DE LICENCIAMIENTO ADOBE CREATIVE CLOUD GUBERNAMENTAL PARA TEATRO POPULAR MELICO ,0062018000700001,31/01/2018
2018CD-000017-0010200001,TEATRO POPULAR MELICO SALAZAR,3007075681,SERVICIO PARA EL MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE CENTRAL TELEFONICA IP SIMIENS,0062018000700002,31/01/2018
2018CD-000016-0010200001,TEATRO POPULAR MELICO SALAZAR,3007075681,SERVICIO PARA EL MANTENIMIENTO Y ACTUALIZACION DE SOFTWARE PARA  LA SOLUCIÓN CONTROLADOR WIRELESS EXTREME SERIAL 14505036635T DURANTE 1 AÑO,0062018000700007,07/02/2018
2018CD-000011-0002600001,Municipalidad de Belén,3014042090,Compra de Zapatos Varias Unidades,"0062018000300001
(Total: 5)",08/01/2018
2018CD-000025-0016800001,MUNICIPALIDAD DE SAN ISIDRO DE HEREDIA,3014042093,"Contratación servicio de atención grupal psico-social para mujeres en modalidad abierta, procesos institucionales",0062018411300005,16/02/2018
2018CD-000026-0010400001,INSTITUTO SOBRE ALCOHOLISMO Y FARMACODEPENDENCIA,3007045737,Pauta radial para el concurso Deje & Gane,,
2018CD-000015-0014700001,CONSEJO NACIONAL DE PERSONAS CON DISCAPACIDAD,3007701595,CONTRATACION DE SERVICIOS DE INTERPRETACION DE LENGUA DE SEÑAS COSTARRICENSE LESCO PARA LA DIRECCION EJECUTIVA DEL CONAPDIS,0062018000400005,23/02/2018
2018CD-000015-0010200001,TEATRO POPULAR MELICO SALAZAR,3007075681,"SERVICIO a cargo de GLORIANA DE LA TRINIDAD VEGA RAMÍREZ, CÉDULA 1-1369-0986 DE ASISTENTE DE DIRECCIÓN ESCÉNICA",0062018000200006,07/02/2018
2018CD-000010-0007600001,MINISTERIO DE VIVIENDA Y ASENTAMIENTOS HUMANOS,2100042013,RELOJ MARCADOR DE CORRESPONDENCIA,0062018000100010,14/02/2018
2018CD-000009-0007600001,MINISTERIO DE VIVIENDA Y ASENTAMIENTOS HUMANOS,2100042013,ÚTILES Y MATERIALES DE OFICINA,0062018000100011,15/02/2018
2018CD-000020-0000100001,Banco Nacional de Costa Rica,4000001021,"“REALIZAR EL UPGRADE DE 4 LICENCIAS BUSINESS CLIENT A LICENCIAS DE TIPO CONTACT CENTER NIVEL 1, PARA LA BANCA DE SERVICIOS ESPECIALIZADOS”","0062018434100034
(Total: 2)",19/02/2018
2018CD-000008-0010500001,INSTITUTO NACIONAL DE INNOVACION Y TRANSFERENCIA EN TECNOLOGIA AGROPECUARIA,3007320067,Compra de Motoguadaña,0062018002200007,19/02/2018
2018LN-000001-0013400001,COMISION NACIONAL DE VACUNACION Y EPIDEMIOLOGIA,3007342750,COMPRA DE REFRIGERADORAS SOLARES Y ICE LINED,0062018000100001,08/02/2018
2018CD-000030-0000500001,Municipalidad de Alajuela,3014042063,Mantenimiento y reparación de motocicletas,0062018000900005,18/01/2018
2018CD-000184-0015499999,MUNICIPALIDAD DE SAN JOSE,3014042058,"Compra de repuestos activo 3160, Pedido 47465, OT 48818",0062018021800155,20/02/2018
2018CD-000064-0004900001,Banco Central de Costa Rica,4000004017,MESAS DE TRABAJO PARA LA CUSTODIA GENERAL,0062018023000083,21/02/2018
2018CD-000063-0004900001,Banco Central de Costa Rica,4000004017,"PAGO DE COMBUSTIBLE PARA FLOTILLA DE VEHÍCULOS DE LA SUPERINTENDENCIA DEPENSIONES SEGÚN DETALLO: NISSAN URBAN PLACA 52-123, TOYOTA ALTIS PLACA52-135,O",0062018023000080,20/02/2018
2018LA-000006-0007400001,INSTITUTO COSTARRICENSE DE INVESTIGACION Y ENSEÑANZA EN NUTRICION Y SALUD,3007045313,CONTRATACION DE SERVICIOS DE COURIER (NACIONAL E INTERNACIONAL),,
